Age,Study_Hours,Attendance,Final_Score,Gender_Male,Internet_Access_Yes
0.0,0.625,0.8709677419354839,88,0,1
0.3333333333333333,0.25,0.6451612903225806,76,1,1
0.0,0.75,1.0,92,0,1
0.3333333333333333,0.125,0.16129032258064516,61,1,0
0.6666666666666666,0.625,0.7419354838709677,84,0,1
0.3333333333333333,0.5,0.8064516129032258,79,0,1
1.0,1.0,0.7419354838709677,95,1,0
0.0,0.375,0.967741935483871,87,0,1
0.3333333333333333,0.0,0.0,55,1,0
0.6666666666666666,0.875,0.9032258064516129,90,0,1
0.3333333333333333,0.625,0.7096774193548387,82,0,1
0.6666666666666666,0.625,0.7096774193548387,82,0,1
